epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,104.31,0.47715,0.55481,0.81178,0.90487,0.7659,0.96167,0.84337,0.46752,1.65249,0.83273,0.000713142,0.000713142,0.000713142
92,105.442,0.58009,0.63289,0.8393,0.98208,0.77237,0.98389,0.85971,0.46513,1.5453,0.83815,0.000714629,0.000714629,0.000714629
93,106.441,0.53998,0.66859,0.82038,0.98208,0.77237,0.98389,0.85971,0.46513,1.5453,0.83815,0.000715975,0.000715975,0.000715975
94,107.477,0.49128,0.57758,0.79455,0.98208,0.77237,0.98389,0.85971,0.46513,1.5453,0.83815,0.000717179,0.000717179,0.000717179
95,108.523,0.57752,0.60399,0.82318,0.98208,0.77237,0.98389,0.85971,0.46513,1.5453,0.83815,0.000718241,0.000718241,0.000718241
96,109.594,0.51948,0.57613,0.83025,0.95679,0.90167,0.995,0.88709,0.45637,1.31268,0.8389,0.000719162,0.000719162,0.000719162
97,110.576,0.49836,0.66244,0.83438,0.95679,0.90167,0.995,0.88709,0.45637,1.31268,0.8389,0.000719942,0.000719942,0.000719942
98,111.616,0.51761,0.59178,0.8305,0.95679,0.90167,0.995,0.88709,0.45637,1.31268,0.8389,0.00072058,0.00072058,0.00072058
99,112.819,0.4885,0.65595,0.84258,0.95679,0.90167,0.995,0.88709,0.45637,1.31268,0.8389,0.000721076,0.000721076,0.000721076
100,113.9,0.46902,0.53237,0.81777,0.95336,0.93134,0.995,0.88191,0.44751,1.14203,0.83339,0.000721431,0.000721431,0.000721431
101,115.035,0.53177,0.59615,0.84038,0.95336,0.93134,0.995,0.88191,0.44751,1.14203,0.83339,0.000721645,0.000721645,0.000721645
102,116.072,0.52783,0.58628,0.84677,0.95336,0.93134,0.995,0.88191,0.44751,1.14203,0.83339,0.000714571,0.000714571,0.000714571
103,117.095,0.48884,0.58451,0.82677,0.95336,0.93134,0.995,0.88191,0.44751,1.14203,0.83339,0.000707498,0.000707498,0.000707498
104,118.21,0.48232,0.57598,0.81552,0.95972,0.98879,0.995,0.893,0.44543,1.03688,0.82985,0.000700424,0.000700424,0.000700424
105,119.215,0.53896,0.62678,0.84281,0.95972,0.98879,0.995,0.893,0.44543,1.03688,0.82985,0.000693351,0.000693351,0.000693351
106,120.227,0.468,0.5341,0.80265,0.95972,0.98879,0.995,0.893,0.44543,1.03688,0.82985,0.000686277,0.000686277,0.000686277
107,121.216,0.47033,0.67916,0.83713,0.95972,0.98879,0.995,0.893,0.44543,1.03688,0.82985,0.000679204,0.000679204,0.000679204
